Entity,Code,Year,cancer_percent,incidence,over65_percent,HDI,life_expectancy,population,urban_percentage,mean_school,GDP_per_capita,equator_dist,BMI,pesticide,cig_prevalence,cig_per_smoker,vegetable,fat,meat,protein,milk,fruit,calories
Albania,ALB,2005,0.971446631,209.2827887,8.500717569,0.702,75.228,3087000,46.731,9.1,6499,4598.018985,25.7695949,0.55,18.200001,19,185.96,88.6,40.55,98.24,291.97,281.8904109,2874
Albania,ALB,2006,0.992856718,210.9376962,8.905554353,0.709,75.423,3063000,47.815,9.2,7111,4598.018985,25.8669583,0.53,18.4,19.1,190.26,91.55,44.49,97.63,298.74,303.6164383,2855
Albania,ALB,2007,1.008591645,210.7726294,9.321660726,0.718,75.646,3034000,48.902,9.2,7673,4598.018985,25.96517397,0.55,18.700001,19.200001,185.46,91.29,48.8,97.28,277.52,325.5616438,2860
Albania,ALB,2008,1.040675187,214.1473676,9.750595968,0.724,75.912,3003000,49.991,9.2,8617,4598.018985,26.063784,0.56,19.1,19.200001,206.04,95.42,53.52,101.95,285.53,325.9178082,2947
Albania,ALB,2009,1.060334052,214.4776103,10.1923346,0.729,76.221,2973000,51.076,9.3,9373,4598.018985,26.16185176,0.58,19.5,19.299999,201.97,101.91,55.71,101.91,285.76,344.0273972,2993
Albania,ALB,2010,1.073009036,214.7055472,10.64540541,0.74,76.562,2948000,52.163,9.3,9324,4598.018985,26.2592556,0.84,19.799999,19.5,237.47,102.07,58.99,106.7,292.07,362.4931506,3076
Albania,ALB,2011,1.088156316,216.1545735,11.01498604,0.759,76.914,2929000,53.247,9.3,9484,4598.018985,26.35626162,0.83,20.1,19.700001,250.8,102.7,58.62,108.59,301.27,365.9999999,3132
Albania,ALB,2012,1.101678523,217.2711591,11.38751091,0.771,77.252,2914000,54.33,9.6,10344,4598.018985,26.4531144,0.51,20.5,19.9,251.71,105.95,61.48,111.31,299.85,382.8767123,3184
Algeria,DZA,1990,0.398461144,94.23234695,3.359231339,0.578,66.938,25759000,52.085,3.38,8312,3132.196928,23.45043356,0.61,16.299999,17.700001,59.64,69.15,17.25,73.67,100.79,91.34246574,2754
Algeria,DZA,1991,0.40315343,94.50261551,3.392339965,0.582,67.27,26400000,52.871,3.8,7692,3132.196928,23.55293823,0.77,16.4,17.6,77.4,66.7,17.56,73.84,96.45,100.7671233,2733
Algeria,DZA,1992,0.408175994,94.49356031,3.434141648,0.589,67.575,27028000,53.657,4,7893,3132.196928,23.6541308,0.35,16.5,17.4,78.61,72.71,17.81,76.48,100.11,107.4246575,2865
Algeria,DZA,1993,0.411171044,94.64420526,3.485475121,0.593,67.877,27636000,54.439,4.3,7171,3132.196928,23.75411287,0.33,16.6,17.299999,79.12,70.99,18.3,78.04,120.71,102.5205479,2865
Algeria,DZA,1994,0.415680632,94.65407266,3.548047135,0.597,68.194,28214000,55.219,4.5,6966,3132.196928,23.85284204,0.37,16.700001,17.200001,73.64,66.68,18.2,76.24,107.45,95.6438356,2763
Algeria,DZA,1995,0.419020949,95.25481643,3.623349295,0.602,68.54,28758000,55.997,4.7,7079,3132.196928,23.95076506,0.65,16.799999,17,83.9,68.8,18.16,75.7,99.1,98.32876711,2785
Algeria,DZA,1996,0.423023521,95.15858682,3.735522009,0.61,68.919,29266000,56.774,5,7215,3132.196928,24.04781983,0.14,16.9,16.799999,75.44,61.6,18.21,75.26,79.9,107.2876712,2784
Algeria,DZA,1997,0.426748719,95.26141428,3.864263227,0.619,69.323,29743000,57.544,5.2,6897,3132.196928,24.14346396,0.09,16.700001,17,74.66,65.26,17.21,72.98,90.23,96.30136985,2733
Algeria,DZA,1998,0.429673926,95.05053042,4.006053903,0.629,69.745,30193000,58.313,5.4,7114,3132.196928,24.2382481,0.05,16.299999,17.200001,78.76,64.36,18.33,78.69,99.73,105.2328767,2792
Algeria,DZA,1999,0.435480639,95.96463695,4.15476319,0.638,70.183,30623000,59.118,5.7,7359,3132.196928,24.33121906,0.14,16.1,17.4,86.08,66.66,18.03,79.07,95.91,119.5342466,2843
Algeria,DZA,2000,0.442733016,96.96569029,4.307408922,0.646,70.64,31042000,59.919,5.9,8255,3132.196928,24.42067763,0.2,15.8,17.5,75.82,65.5,18.37,75.87,103,112.1369863,2812
Algeria,DZA,2001,0.452620437,98.26948696,4.437474775,0.655,71.116,31452000,60.712,6.1,8153,3132.196928,24.50714904,0.27,15.5,17.700001,81.72,69.92,16.83,77.35,113.32,129.5068493,2886
Algeria,DZA,2002,0.464768786,99.79613113,4.562822246,0.666,71.605,31855000,61.501,6.3,8462,3132.196928,24.59092624,0.33,15.2,18,83.42,65.43,17.57,79.91,113.23,156.3561644,2925
Algeria,DZA,2003,0.477732647,101.4244042,4.684889179,0.676,72.101,32264000,62.284,6.5,9071,3132.196928,24.67195292,0.39,14.4,18.799999,97.86,60.98,18.77,82.16,104.82,169.2602739,2970
Algeria,DZA,2004,0.491723717,103.1837088,4.803830202,0.685,72.594,32692000,63.061,6.7,9516,3132.196928,24.75085592,0.44,13.6,19.700001,116.61,63.8,20.73,83.44,118.46,170.0547945,2987
Algeria,DZA,2005,0.503969501,104.9934956,4.919461773,0.694,73.072,33150000,63.83,6.9,10795,3132.196928,24.82728734,0.33,12.9,20.700001,116.89,61.56,20.91,84.11,118.09,188.3287671,2958
Algeria,DZA,2006,0.513983508,106.5535694,5.033435092,0.699,73.521,33641000,64.593,7,11585,3132.196928,24.9023836,0.29,12.3,21.6,110.16,68.66,19.59,83.73,121.53,206.0273972,3047
Algeria,DZA,2007,0.522621473,107.6883623,5.140660402,0.708,73.936,34167000,65.348,7.2,11751,3132.196928,24.97837307,0.41,11.8,22.5,107.78,67.11,19.44,83.21,121.62,182.9863013,3041
Algeria,DZA,2008,0.530016,108.4921767,5.244230104,0.711,74.311,34731000,66.097,6.7,12270,3132.196928,25.05777856,0.67,11.4,23.299999,103.76,67.22,18.71,83.45,120.61,208.8219178,3048
Algeria,DZA,2009,0.53873498,109.3786241,5.347937862,0.72,74.644,35334000,66.826,6.9,11172,3132.196928,25.13945167,0.37,11.1,24.1,126.05,65.44,19.34,86.53,132.72,239.8904109,3110
Algeria,DZA,2010,0.544098259,109.4389448,5.456205838,0.73,74.938,35977000,67.54,7.1,12510,3132.196928,25.22206994,0.21,10.9,24.6,134.45,69.14,18.35,85.94,132.79,247.4246575,3142
Algeria,DZA,2011,0.550248464,109.1142693,5.508604475,0.738,75.199,36661000,68.236,7.4,13204,3132.196928,25.30476248,0.89,11,24.6,142.17,75.83,19.85,90.09,151,280.3561643,3217
Algeria,DZA,2012,0.55558806,108.7030253,5.566025156,0.737,75.436,37384000,68.915,7.6,13242,3132.196928,25.38733419,1.06,11.2,24.4,152.91,75.96,21.03,90.18,145.56,289.9452054,3272
Angola,AGO,1990,0.430943952,182.4023439,2.466968919,0.384,45.306,11848000,37.144,4.4,2400,-1251.665126,20.60317087,0.02,8.8999996,23.299999,22.64,45.3,14.13,38.46,35.26,94.63013697,1641
Angola,AGO,1991,0.433528264,183.0252329,2.481741015,0.384,45.271,12249000,38.58,4.4,1755,-1251.665126,20.71944973,0.02,8.8999996,23.200001,22.38,42.33,13.2,33.85,26.82,96.16438355,1611
Angola,AGO,1992,0.436250124,183.6705679,2.499651191,0.384,45.23,12657000,40.039,4.4,2226,-1251.665126,20.83440916,0.01,8.8999996,23.200001,21.27,41.19,14.21,33.94,21.12,94.52054793,1625
Angola,AGO,1993,0.441258834,185.2856504,2.517176035,0.384,45.201,13075000,41.511,4.4,1866,-1251.665126,20.94822503,0.05,8.8999996,23.299999,20.59,37.29,12.62,33.38,18.92,89.58904108,1564
Angola,AGO,1994,0.445958262,186.2618792,2.530393971,0.384,45.201,13504000,43,4.4,1855,-1251.665126,21.06115078,0.01,8.8999996,23.4,19.76,34.24,11.23,35.64,19.15,88.30136985,1644
Angola,AGO,1995,0.443590985,184.6426839,2.537904424,0.384,45.246,13945000,44.169,4.4,1551,-1251.665126,21.17353701,0.1,8.8999996,23.4,19.86,35.91,10.69,35.13,18.92,88.32876711,1687
Angola,AGO,1996,0.43112628,179.7139811,2.556636235,0.384,45.35,14401000,45.346,4.4,1955,-1251.665126,21.28650933,0.01,8.8999996,23.200001,20.47,38.62,11.96,37.02,19.12,88.41095889,1731
Angola,AGO,1997,0.425784557,177.1660957,2.566985194,0.384,45.519,14872000,46.525,4.4,1851,-1251.665126,21.39978388,0.01,8.8999996,23,19.46,37.42,13.77,38.58,19.48,85.47945204,1732
Angola,AGO,1998,0.443992502,182.3324899,2.570919648,0.384,45.763,15360000,47.71,4.4,2097,-1251.665126,21.51382686,0.01,8.8999996,22.700001,19.37,38.18,14.76,37.22,19.54,85.69863012,1752
Angola,AGO,1999,0.436362731,178.5252983,2.570589068,0.384,46.093,15867000,48.897,4.4,1843,-1251.665126,21.62847686,0.01,8.8999996,22.4,17.84,37.66,13.92,37.7,14.82,75.78082191,1805
Angola,AGO,2000,0.434099805,176.5752167,2.566879284,0.394,46.522,16395000,50.087,4.4,1647,-1251.665126,21.74331706,0.01,8.8999996,22.1,20.05,38.78,16.82,39.47,14.79,77.369863,1792
Angola,AGO,2001,0.428937025,173.7764555,2.574733622,0.404,47.059,16946000,51.274,4.4,1894,-1251.665126,21.85837593,0.01,8.8999996,21.9,20.12,39.38,16.35,40.25,15.59,83.89041095,1833
Angola,AGO,2002,0.430016072,172.3961587,2.576906526,0.419,47.702,17519000,52.461,4.4,2133,-1251.665126,21.97335701,0.01,8.8999996,21.5,21.01,40.02,20.02,42.98,15.78,102.3013698,1915
Angola,AGO,2003,0.432429899,172.1648844,2.571324338,0.428,48.44,18121000,53.645,4.4,2146,-1251.665126,22.08764113,0.01,8.8999996,21.299999,20.88,43.24,21.73,43.28,15.48,122.6027397,1983
Angola,AGO,2004,0.436812811,172.8239938,2.554735556,0.44,49.263,18758000,54.827,4.4,2538,-1251.665126,22.20066772,0.01,8.8999996,21,23.49,43.07,19.14,42.96,15.14,134.6027397,2030
Angola,AGO,2005,0.429818428,169.8210981,2.526356154,0.453,50.165,19434000,56,4.4,3364,-1251.665126,22.31159463,0.01,8.8999996,20.6,21.75,45.17,21.78,44.62,15.21,152.9041096,2077
Angola,AGO,2006,0.426642814,168.4413664,2.503709572,0.466,51.143,20150000,56.764,4.5,4558,-1251.665126,22.42057883,0.01,8.8999996,20.1,24,45.52,23.36,45.88,12.38,161.2054794,2119
Angola,AGO,2007,0.422090309,165.975567,2.470528735,0.482,52.177,20905000,57.524,4.5,5314,-1251.665126,22.52753316,0.01,8.8000002,19.6,22.18,46.99,24.74,47.9,12.49,172.1369863,2173
Angola,AGO,2008,0.420813513,165.1943792,2.432051536,0.494,53.243,21696000,58.282,4.6,6318,-1251.665126,22.63211025,0.01,8.8000002,19,48.68,48.42,26.88,51.32,12.02,177.3424657,2245
Angola,AGO,2009,0.419195663,163.9931267,2.394426897,0.508,54.311,22514000,59.034,4.7,5212,-1251.665126,22.73407046,0.01,8.8000002,18.6,66.59,49.2,24.93,51.49,10.2,218.9041096,2303
Angola,AGO,2010,0.418672291,163.1960894,2.360756091,0.51,55.35,23356000,59.783,4.7,6408,-1251.665126,22.83369131,0.01,8.8000002,18.299999,67.53,49.71,28.14,53.54,11.01,223.5068493,2345
Angola,AGO,2011,0.417796888,162.6089652,2.347429742,0.525,56.33,24221000,60.528,4.7,8016,-1251.665126,22.9317458,0.01,8.6999998,18.1,71.81,52.52,31.86,56.04,11.15,216.0547945,2407
Angola,AGO,2012,0.417162941,162.1737896,2.336002915,0.537,57.236,25108000,61.268,4.8,8074,-1251.665126,23.02855357,0.01,8.6999998,17.9,66.03,52.73,34.85,55.59,12.47,215.0958904,2384
Argentina,ARG,1990,0.965968903,235.7819666,8.922392284,0.707,71.594,32619000,86.984,7.88,11878,-4292.190565,25.47638248,0.95,25.299999,19.1,72.49,99.62,83.73,91.82,166.54,172.2191781,2911
Argentina,ARG,1991,0.980431573,234.8328323,9.032020315,0.714,71.813,33079000,87.328,8,13006,-4292.190565,25.56172127,0.94,25.200001,19,75.85,104.77,87.03,95.09,173.27,227.8082191,3010
Argentina,ARG,1992,1.000985954,237.9948823,9.141749524,0.719,72.032,33529000,87.542,8,14222,-4292.190565,25.64634629,0.94,25,18.799999,79.06,110.87,90.36,97.92,200.32,241.5616438,3077
Argentina,ARG,1993,1.013315752,236.171715,9.247199693,0.725,72.246,33970000,87.752,8.1,14993,-4292.190565,25.73047367,0.94,24.9,18.5,74.99,115.01,98.58,100.95,199.74,248.6027397,3116
Argentina,ARG,1994,1.025069238,234.8301031,9.340259966,0.729,72.453,34403000,87.96,8.2,15748,-4292.190565,25.81451824,1.08,24.799999,18.200001,75.51,116.05,97.18,100.93,211.05,272.5205479,3155
Argentina,ARG,1995,1.036128052,234.9485264,9.418177872,0.731,72.651,34828000,88.164,8.3,15192,-4292.190565,25.89872583,1.35,24.700001,18,77.97,113.67,90.89,99.7,212.98,258.6301369,3163
Argentina,ARG,1996,1.054969797,238.666585,9.507355281,0.738,72.843,35246000,88.366,8.5,15929,-4292.190565,25.98322568,1.93,24.6,17.799999,73,112.02,87.78,100.3,226.18,247.5068493,3156
Argentina,ARG,1997,1.064220444,238.7881765,9.582813724,0.746,73.029,35657000,88.564,8.6,16353,-4292.190565,26.06796559,2.74,24.4,17.6,66.61,110.89,89.21,100.98,224.35,289.369863,3132
Argentina,ARG,1998,1.074814211,239.1495191,9.644607302,0.752,73.213,36063000,88.759,8.8,16217,-4292.190565,26.15354449,2.19,24.1,17.5,72.66,114.75,93.25,102.53,226.76,274.4931506,3163
Argentina,ARG,1999,1.090060819,241.5793104,9.692795869,0.763,73.396,36467000,88.952,8.9,15150,-4292.190565,26.23986895,2.56,23.9,17.5,78.86,119.3,99.87,105.47,229.18,267.4520548,3265
Argentina,ARG,2000,1.086703649,236.0520549,9.728636929,0.77,73.576,36871000,89.142,9.1,14918,-4292.190565,26.32657818,2.93,23.700001,17.5,71.81,116.49,98.75,104.79,224.43,300,3260
Argentina,ARG,2001,1.092585748,235.8664182,9.781623672,0.775,73.755,37276000,89.329,9.1,13913,-4292.190565,26.41340276,3.29,23.6,17.6,71.94,114.39,94.19,101.28,217.46,319.7260274,3212
Argentina,ARG,2002,1.097963831,236.7580186,9.815213195,0.77,73.932,37682000,89.51,9.2,11871,-4292.190565,26.50072609,3.65,23.6,17.700001,71.34,99.18,79.68,90.42,169.46,233.9178082,2977
Argentina,ARG,2003,1.104759909,238.1555674,9.838287614,0.775,74.107,38088000,89.686,9.3,12636,-4292.190565,26.58933953,3.91,23.6,17.9,68.61,98.93,83.46,92.55,164.69,230.5205479,3009
Argentina,ARG,2004,1.099149242,233.5028133,9.861495275,0.775,74.28,38492000,89.86,9.2,13664,-4292.190565,26.67979265,3.99,23.4,18,66.77,101.34,87.25,91.76,139.36,231.9726027,3028
Argentina,ARG,2005,1.099660305,231.8969359,9.891378462,0.777,74.451,38893000,90.031,9.1,14832,-4292.190565,26.77222907,4.06,23.200001,18.1,70.26,107.1,89.8,96.09,185.41,211.1232876,3107
Argentina,ARG,2006,1.108203432,232.5715901,9.942008474,0.801,74.62,39290000,90.2,9,15871,-4292.190565,26.86650721,4.14,22.700001,18.299999,64.71,107.32,93.79,98.26,182.71,213.3150685,3114
Argentina,ARG,2007,1.119985882,236.1434203,9.995324347,0.806,74.787,39684000,90.366,8.9,17303,-4292.190565,26.9629685,4.96,22.200001,18.5,67.49,110.75,94.95,98.83,194.62,180.5753424,3145
Argentina,ARG,2008,1.116681643,230.7811116,10.05387953,0.81,74.952,40080000,90.53,8.9,18283,-4292.190565,27.06175916,5.57,21.700001,18.6,67.13,111.29,97.31,99.35,202.06,206.4109589,3158
Argentina,ARG,2009,1.12896219,231.8723436,10.11969581,0.81,75.116,40483000,90.691,9.3,16893,-4292.190565,27.16266165,3.93,21.200001,18.799999,65.87,110.93,99.64,98.37,191.44,205.8082191,3132
Argentina,ARG,2010,1.128786476,229.2180649,10.19502466,0.818,75.278,40896000,90.849,9.8,18660,-4292.190565,27.26581683,6.01,20.5,19.1,66.56,112.6,100.7,99.31,191.44,204.5205479,3155
Argentina,ARG,2011,1.135205568,229.7220798,10.29700754,0.823,75.439,41320000,90.99,9.8,20003,-4292.190565,27.37094139,5.51,19.799999,19.4,70.42,112.33,105.34,100.62,189.07,250.2465753,3161
Argentina,ARG,2012,1.144044375,230.6152591,10.40101452,0.823,75.598,41755000,91.121,9.8,19841,-4292.190565,27.47716824,5.29,19.299999,19.700001,73.03,114.81,106.27,101.97,195.09,220.4931507,3197
Armenia,ARM,1990,0.760759483,237.1644308,5.632118968,0.633,67.879,3538000,67.421,10.08,6389,4476.878759,25.28833035,0.02,28,21.6,132.56,31.49,18.58,63.58,108.87,167.7534246,2184
Armenia,ARM,1991,0.765410754,240.0078922,6.075273204,0.629,67.87,3505000,67.15,10.2,5684,4476.878759,25.34009072,0.02,28.1,21.799999,132.56,31.49,18.58,63.58,108.87,167.7534246,2184
Armenia,ARM,1992,0.774363094,243.8182207,6.622135304,0.585,67.99,3443000,66.878,10.2,3346,4476.878759,25.38903432,0.02,28.1,22.1,132.56,31.49,18.58,63.58,108.87,167.7534246,2184
Armenia,ARM,1993,0.770006867,241.1461114,7.231763,0.59,68.218,3363000,66.606,10.3,3186,4476.878759,25.43559016,0.02,28.200001,22.5,99.41,27.49,18.08,58.53,46.82,101.2876712,2099
Armenia,ARM,1994,0.762574104,235.6186673,7.833528796,0.6,68.538,3284000,66.332,10.4,2704,4476.878759,25.48056959,0.05,28.1,22.9,131.11,38.89,19.77,61.59,99.47,148.9315068,2181
Armenia,ARM,1995,0.7602943,232.0615245,8.381468215,0.604,68.938,3217000,66.057,10.4,2891,4476.878759,25.52376453,0.05,28,23.4,131.88,43.79,22.9,61.64,52.56,177.5616438,2270
Armenia,ARM,1996,0.768031329,232.9772998,8.78180531,0.614,69.404,3168000,65.781,10.5,3155,4476.878759,25.56550484,0.06,27.9,23.799999,134.06,44.11,18.84,63.29,80.94,185.6438356,2320
Armenia,ARM,1997,0.772565327,230.5537993,9.087038383,0.625,69.912,3133000,65.504,10.6,3303,4476.878759,25.60598659,0.08,27.5,24.5,116.12,44.3,20.76,64.89,79.7,141.9726027,2330
Armenia,ARM,1998,0.784104497,230.1253309,9.346357481,0.637,70.434,3109000,65.226,10.7,2961,4476.878759,25.64564699,0.1,27.200001,25.1,122.18,38.36,21.29,66.31,86.8,143.5890411,2320
Armenia,ARM,1999,0.791114876,229.7136738,9.641044965,0.644,70.944,3089000,64.947,10.7,3276,4476.878759,25.68440248,0.12,26.9,25.5,137.99,38.32,20.11,66.5,92.99,112.7671233,2288
Armenia,ARM,2000,0.801382306,229.5969955,10.01576432,0.649,71.409,3070000,64.666,10.8,3324,4476.878759,25.7220263,0.14,26.700001,25.799999,120.28,41.35,21.2,65.33,93.75,132.2739726,2236
Armenia,ARM,2001,0.813241688,231.7126761,10.43033913,0.653,71.8,3051000,64.385,10.7,3509,4476.878759,25.76021109,0.16,26.4,26,124.07,42.67,21.87,65.25,96.39,133.1780822,2239
Armenia,ARM,2002,0.822097147,234.813174,10.91629537,0.663,72.112,3034000,64.236,10.8,3803,4476.878759,25.79931636,0.18,26.200001,26,160.75,48.74,23.14,66.3,123.4,118.1643835,2259
Armenia,ARM,2003,0.834314743,238.000574,11.39604868,0.672,72.348,3018000,64.137,10.8,4347,4476.878759,25.8394129,0.2,26.200001,25.9,188.19,57.49,25.12,70.15,127.32,110.3561644,2432
Armenia,ARM,2004,0.845457536,239.7809579,11.74711403,0.681,72.513,3001000,64.038,10.8,4633,4476.878759,25.88091708,0.41,26.200001,25.6,217.79,55.95,26.77,75.06,126.91,128.5479452,2554
Armenia,ARM,2005,0.857405096,243.0091911,11.89999963,0.694,72.626,2981000,63.938,10.9,5172,4476.878759,25.92366706,0.44,26.299999,25.200001,238.59,63.01,29.15,77.37,149.15,275.2054794,2668
Armenia,ARM,2006,0.871663598,246.1767937,11.90495104,0.708,72.716,2958000,63.839,10.9,5925,4476.878759,25.96793802,0.45,26.299999,24.9,290.87,66.44,30.22,80.89,166.04,265.0684931,2757
Armenia,ARM,2007,0.884536303,247.9746922,11.73190644,0.724,72.815,2933000,63.739,11,6751,4476.878759,26.01366938,0.48,26.299999,24.6,329.73,76.62,36.96,82.22,172.9,248.9863013,2761
Armenia,ARM,2008,0.904915123,253.7822625,11.45380858,0.727,72.946,2908000,63.64,11,7360,4476.878759,26.06191645,0.43,26.299999,24.299999,325.21,81.67,48.48,87.6,161.34,306.6575342,2869
Armenia,ARM,2009,0.9195875,256.5246645,11.18291938,0.724,73.118,2888000,63.54,11.1,6906,4476.878759,26.11151736,0.39,26.4,24,322.86,77.87,40.45,84.58,178.04,327.2876712,2819
Armenia,ARM,2010,0.933475223,258.4582342,10.99384531,0.729,73.331,2877000,63.44,11.1,7642,4476.878759,26.16164964,0.55,26.4,23.700001,286.49,81.87,40.76,83.49,189.02,192.9589041,2768
Armenia,ARM,2011,0.947612372,258.3683987,10.86486603,0.733,73.572,2877000,63.34,11.2,8465,4476.878759,26.21222472,0.55,26.6,23.4,307.64,83.2,42.4,86,190.33,225.5342465,2788
Armenia,ARM,2012,0.960941438,258.1731959,10.81125873,0.737,73.82,2884000,63.24,11.3,8827,4476.878759,26.26329596,0.55,26.700001,23.1,342.35,93.36,44.77,87.75,205.66,322.219178,2882
Australia,AUS,1990,2.254119949,915.2182716,11.05874988,0.866,76.933,16961000,85.433,11.2,27767,-2823.882203,25.28765211,1.04,25.1,22.9,86.67,128.63,115.25,110,232.97,247.6986301,3174
Australia,AUS,1991,2.331952329,927.4876531,11.2564488,0.867,77.223,17189000,85.403,11.8,26671,-2823.882203,25.3968236,1.03,24.9,22.700001,86.13,128.19,112.12,106.39,232.26,228.4109589,3121
Australia,AUS,1992,2.427576855,945.2011708,11.43516962,0.868,77.505,17402000,85.285,11.8,28053,-2823.882203,25.50853078,1.36,24.700001,22.4,82.85,131.73,112.14,104.26,237.34,240.3835616,3125
Australia,AUS,1993,2.498971364,956.8057244,11.59380351,0.872,77.772,17603000,85.157,11.8,28463,-2823.882203,25.62163249,1.38,24.6,22.1,78.92,129.36,110.81,103.01,238.03,259.3424657,3042
Australia,AUS,1994,2.58896801,976.4802806,11.73354832,0.875,78.024,17799000,85.028,11.8,29582,-2823.882203,25.73470859,1.17,24.200001,21.9,87.92,127.55,111.7,105.46,244.88,248.1369863,3054
Australia,AUS,1995,2.636983031,984.1599495,11.85705678,0.883,78.267,17993000,84.898,11.8,30514,-2823.882203,25.84682103,1.5,23.799999,21.700001,85.94,125.39,108.76,107.76,239.47,232,3099
Australia,AUS,1996,2.70046867,997.0647771,11.96580271,0.886,78.508,18189000,84.767,11.8,31419,-2823.882203,25.95777576,1.61,23.4,21.5,91.96,124.93,107.63,105.69,242.22,224.7945205,3077
Australia,AUS,1997,2.770416783,1008.043864,12.05933101,0.889,78.759,18387000,84.636,11.8,32433,-2823.882203,26.0669064,1.61,23,21.299999,89.59,127.07,105.9,103.99,236.1,247.3150685,3096
Australia,AUS,1998,2.838733346,1016.362296,12.1434629,0.892,79.024,18587000,84.503,11.8,33260,-2823.882203,26.17379436,1.72,22.5,21,90.35,124.83,110.7,101.34,213.98,237.2054794,3015
Australia,AUS,1999,2.886786657,1017.774981,12.22798199,0.895,79.302,18788000,84.37,11.9,34643,-2823.882203,26.27801234,1.47,21.9,20.799999,89.36,130.48,110.38,101.28,218.81,240.6027397,3014
Australia,AUS,2000,2.913890804,1016.146852,12.32367377,0.898,79.592,18991000,84.235,11.9,36001,-2823.882203,26.37890595,1.41,21.4,20.700001,97.97,130.01,111.07,101.3,215.09,249.2054794,2991
Australia,AUS,2001,2.922345342,1004.389249,12.41530462,0.9,79.886,19195000,84.1,11.9,36266,-2823.882203,26.4754487,1.33,20.9,20.5,105.05,134.26,109.97,100.78,215.12,264.4931506,3048
Australia,AUS,2002,2.95934384,994.9813764,12.51592156,0.903,80.174,19401000,84.222,11.8,37409,-2823.882203,26.56652453,1.11,20.4,20.299999,94.63,131.17,110.71,104.81,226.05,261.1232876,3077
Australia,AUS,2003,2.98477643,979.5663283,12.62689074,0.904,80.451,19624000,84.343,11.8,37889,-2823.882203,26.65175562,1.38,19.9,20.200001,90.8,130.99,117.88,109.64,210.09,282.109589,3104
